material,emissivity,emissivity_range,solar_absorptance,solar_absorptance_range,prompt,notes
aluminum_polished,0.05,0.04-0.06,0.15,0.10-0.20,"a close-up photo of bare mirror-like polished aluminium metal, unpainted and highly reflective","Polished aluminum; highly reflective, very low emissivity. BARE metal only - painted aluminium is painted_metal. Solar absorptance also low: bright bare metal reflects most shortwave."
aluminum_oxidized,0.25,0.20-0.31,0.50,0.40-0.65,"a close-up photo of bare dull oxidized aluminium metal, unpainted","Heavily oxidized aluminum. BARE metal only. Dull/oxidized finish roughly doubles solar absorptance vs. polished."
steel_polished,0.07,0.05-0.10,0.35,0.25-0.45,"a close-up photo of bare mirror-like polished stainless steel, unpainted and highly reflective","Polished steel/stainless. BARE metal only - a painted steel radiator is painted_metal, not this."
steel_oxidized,0.79,0.75-0.85,0.80,0.74-0.90,"a close-up photo of bare dark oxidized steel metal, unpainted","Oxidized steel. BARE metal only. Dark oxide layer absorbs shortwave almost as strongly as it emits longwave."
iron_rusted,0.69,0.60-0.85,0.74,0.65-0.80,"a photo of a rusty iron surface with red-brown rust","Rusted iron"
copper_polished,0.04,0.02-0.05,0.25,0.18-0.30,"a close-up photo of bare mirror-like polished copper metal, unpainted and reddish","Polished copper. BARE metal only."
copper_oxidized,0.65,0.60-0.78,0.65,0.60-0.70,"a photo of a dark oxidized copper surface with green patina","Oxidized copper"
painted_metal,0.94,0.90-0.96,0.65,0.30-0.95,"a photo of a painted metal radiator or painted metal panel with glossy enamel paint","Painted/enamelled metal (radiators, painted panels, painted pipes). Paint dominates the surface, so emissivity is that of paint, NOT of the metal underneath. Solar absorptance is strongly color-dependent (0.3 light/0.95 dark) -- 0.65 is a mid-tone placeholder, override per-voxel if paint color is known."
brick,0.93,0.90-0.96,0.65,0.55-0.70,"a photo of a red brick wall","Common red brick"
concrete,0.92,0.85-0.95,0.65,0.55-0.70,"a photo of a gray concrete surface","Concrete, rough"
wood,0.90,0.80-0.95,0.65,0.55-0.75,"a photo of a natural wooden surface with wood grain","Planed wood"
glass,0.92,0.90-0.95,0.10,0.05-0.15,"a photo of a smooth glass surface or window pane","Glass (non-transparent to LWIR). Solar absorptance low because clear glass mostly transmits/reflects shortwave rather than absorbing it -- most solar gain through glass is transmission, not captured by an opaque-surface absorptance model."
plaster,0.91,0.86-0.95,0.40,0.30-0.50,"a photo of a white plaster wall surface","Plaster, rough"
paint,0.94,0.90-0.96,0.60,0.25-0.95,"a photo of a painted wall or painted surface, matte or glossy","Non-metallic paint (most colors). Solar absorptance is strongly color-dependent -- 0.60 is a mid-tone placeholder."
plastic,0.94,0.90-0.97,0.60,0.30-0.90,"a photo of a plastic surface or plastic object","Opaque plastics (PVC, ABS, etc.). Color-dependent."
rubber,0.94,0.86-0.95,0.80,0.80-0.95,"a photo of a black rubber surface","Rubber, hard or soft. Solar absorptance stays high even for lighter tints (blue-grey, etc): NIR-absorbing carbon-filled compounds in the rubber, not surface pigment, dominate shortwave absorption -- unlike paint, color is a weak predictor here. 0.80 (session 9 corridor: medium blue-grey hard rubber flooring, see photo) is the low end of the class range, not a light-surface value like paint/plaster would get for the same visible tone."
cardboard,0.90,0.81-0.93,0.75,0.65-0.80,"a photo of a brown cardboard surface","Corrugated cardboard"
ceramic,0.92,0.90-0.94,0.40,0.30-0.50,"a photo of a ceramic tile surface","Ceramic, glazed. Usually light-colored -- moderate solar absorptance."
asphalt,0.95,0.93-0.96,0.90,0.85-0.95,"a photo of a dark asphalt road surface","Asphalt pavement. Near-black -- among the highest solar absorptance of common materials."
fabric,0.90,0.85-0.95,0.60,0.30-0.90,"a photo of a fabric or cloth textile surface","Textiles, cloth. Color-dependent."
